id_partido,nombre_local,resultado_local,nombre_visitante,resultado_visitante,parciales_local,parciales_visitante,fecha_partido,arbitro1,arbitro2,arbitro3,pista_partido,direccion_partido
2341452,HLA ALICANTE,92,RIOVERDE CLAVIJO,56,"28,21,30,13","6,15,19,16",06/10/2023 - 20:45,"CHECA NEBOT, DANIEL","ARESTE GIRALT, EVA","ARRESA QUINTERO, JOSE MARIA",Centre de Tecnificació Esportiva d’Alacant,Alicante/Alacant (Alicante)
2341453,HESTIA MENORCA,66,MELILLA CIUDAD DEL DEPORTE,83,"15,14,19,18","18,26,20,19",07/10/2023 - 19:30,"ALBACETE CHAMON, ANGEL ANTONIO","LEZCANO, LEANDRO NICOLÁS","COLOMER CASTELLO, EDUARD",Pavelló Menorca,Mahón (Illes Balears)
2341454,GRUPO URETA TIZONA BURGOS,92,UEMC REAL VALLADOLID BALONCESTO,86,"20,20,26,26","33,16,21,16",06/10/2023 - 20:45,"MARTIN VAZQUEZ, CRISTIAN","PALANCA PAGE, RODRIGO","CAAMAÑO MUÑOZ, JORGE",POLIDEPORTIVO MUNICIPAL EL PLANTIO,Burgos (Burgos)
2341455,CACERES PATRIMONIO DE LA HUMANIDAD,60,MOVISTAR ESTUDIANTES,83,"14,14,18,14","25,24,19,15",06/10/2023 - 21:15,"LEMA PARGA, PAULA","HURTADO ALMANSA, JUAN RAMON","RODRIGUEZ FERNANDEZ, PABLO",PABELLÓN MULTIUSOS CIUDAD DE CÁCERES,Cáceres (Cáceres)
2341456,ICG FORÇA LLEIDA,75,GUUK GIPUZKOA BASKET,68,"15,21,19,20","17,15,19,17",06/10/2023 - 21:00,"DE LUCAS DE LUCAS, ANGEL","ZAMORA RODRIGUEZ, ANTONIO MANUEL","DOMINGO VILALTA, JORDI",0-PAVELLO BARRIS NORD,Lleida (Lleida)
2341457,BALONCESTO FUENLABRADA,73,GRUPO ALEGA CANTABRIA,78,"17,19,16,21","30,14,14,20",07/10/2023 - 18:30,"ZAFRA GUERRA, FRANCISCO JOSE","BÁEZ BATISTA, HÉCTOR","VILLANUEVA TENA, JAVIER","3664-3664-FERNANDO MARTIN, PABELLON",Fuenlabrada (Madrid)
2341458,CLUB OURENSE BALONCESTO,93,AMICS CASTELLÓ,80,"21,20,19,33","17,18,26,19",07/10/2023 - 19:00,"ESTEVE MALMIERCA, IGOR","MARTINEZ PRADA, JESUS MARCOS","ADAN RODRIGUEZ, CRISTINA",PAZO DOS DEPORTES PACO PAZ,Ourense (Ourense)
2341459,ALIMERKA OVIEDO BALONCESTO,75,LONGEVIDA SAN PABLO BURGOS,71,"17,11,18,20","9,26,14,10",07/10/2023 - 18:00,"RIAL BARREIRO, JACOBO","IBAÑEZ GARCIA, FERNANDO","GOMEZ HERNANDEZ, AITOR",POLIDEPORTIVO MUNICIPAL DE PUMARIN,Oviedo (Asturias)
2341460,REAL BETIS BALONCESTO,77,LEYMA CORUÑA,81,"14,21,25,17","17,29,10,25",06/10/2023 - 20:30,"GARCIA LEON, CARLOS JAVIER","AVILA ZURITA, JAVIER","CHUECA MORENO, ARIADNA",PALACIO MUNICIPAL DE DEPORTES SAN PABLO,Sevilla (Sevilla)
2341461,LONGEVIDA SAN PABLO BURGOS,79,ICG FORÇA LLEIDA,66,"19,16,28,16","22,17,17,10",14/10/2023 - 21:00,"LOPEZ HERRADA, ENRIQUE MIGUEL","CARPALLO MIGUELEZ, JUAN GABRIEL","FANES MARGINET, JOAN",COLISEUM BURGOS,Burgos (Burgos)
