2023-11-01 14:54:28 - INFO - root - main.py:11 - Iniciando programa
2023-11-01 14:54:28 - INFO - root - scraper.py:39 - Procesando partido 2341452
2023-11-01 14:54:30 - INFO - root - scraper.py:39 - Procesando partido 2341453
2023-11-01 14:54:30 - INFO - root - scraper.py:39 - Procesando partido 2341454
2023-11-01 14:54:31 - INFO - root - scraper.py:39 - Procesando partido 2341455
2023-11-01 14:54:31 - INFO - root - scraper.py:39 - Procesando partido 2341456
2023-11-01 14:54:32 - INFO - root - scraper.py:39 - Procesando partido 2341457
2023-11-01 14:54:33 - INFO - root - scraper.py:39 - Procesando partido 2341458
2023-11-01 14:54:34 - INFO - root - scraper.py:39 - Procesando partido 2341459
2023-11-01 14:54:34 - INFO - root - scraper.py:39 - Procesando partido 2341460
2023-11-01 14:54:35 - INFO - root - scraper.py:39 - Procesando partido 2341461
2023-11-01 14:54:35 - INFO - root - scraper.py:39 - Procesando partido 2341462
2023-11-01 14:54:36 - INFO - root - scraper.py:39 - Procesando partido 2341463
2023-11-01 14:54:37 - INFO - root - scraper.py:39 - Procesando partido 2341464
2023-11-01 14:54:37 - INFO - root - scraper.py:39 - Procesando partido 2341465
2023-11-01 14:54:38 - INFO - root - scraper.py:39 - Procesando partido 2341466
2023-11-01 14:54:38 - INFO - root - scraper.py:39 - Procesando partido 2341467
2023-11-01 14:54:39 - INFO - root - scraper.py:39 - Procesando partido 2341468
2023-11-01 14:54:39 - INFO - root - scraper.py:39 - Procesando partido 2341469
2023-11-01 14:54:40 - INFO - root - scraper.py:39 - Procesando partido 2341470
2023-11-01 14:54:40 - INFO - root - scraper.py:39 - Procesando partido 2341471
2023-11-01 14:54:41 - INFO - root - scraper.py:39 - Procesando partido 2341472
2023-11-01 14:54:41 - INFO - root - scraper.py:39 - Procesando partido 2341473
2023-11-01 14:54:42 - INFO - root - scraper.py:39 - Procesando partido 2341474
2023-11-01 14:54:42 - INFO - root - scraper.py:39 - Procesando partido 2341475
2023-11-01 14:54:43 - INFO - root - scraper.py:39 - Procesando partido 2341476
2023-11-01 14:54:43 - INFO - root - scraper.py:39 - Procesando partido 2341477
2023-11-01 14:54:43 - INFO - root - scraper.py:39 - Procesando partido 2341478
2023-11-01 14:54:44 - INFO - root - scraper.py:39 - Procesando partido 2341479
2023-11-01 14:54:45 - INFO - root - scraper.py:39 - Procesando partido 2341480
2023-11-01 14:54:45 - INFO - root - scraper.py:39 - Procesando partido 2341481
2023-11-01 14:54:46 - INFO - root - scraper.py:39 - Procesando partido 2341482
2023-11-01 14:54:46 - INFO - root - scraper.py:39 - Procesando partido 2341483
2023-11-01 14:54:46 - INFO - root - scraper.py:39 - Procesando partido 2341484
2023-11-01 14:54:47 - INFO - root - scraper.py:39 - Procesando partido 2341485
2023-11-01 14:54:47 - INFO - root - scraper.py:39 - Procesando partido 2341486
2023-11-01 14:54:47 - INFO - root - scraper.py:52 - Programa finalizado con exito
